google_place_id,name,neighborhood,address,primary_type,google_types,price_level,google_rating,review_count,hours,description,google_reviews
"ChIJb67-ZZ1ZwokRRxBYr3GlFp0","Please Don't Tell","East Village","113 St Marks Pl, New York","Cocktail Bar","cocktail_bar; bar; restaurant; food; point_of_interest; establishment","PRICE_LEVEL_EXPENSIVE","4.3","2423","Monday: 5:00 PM – 2:00 AM | Tuesday: 5:00 PM – 2:00 AM | Wednesday: 5:00 PM – 2:00 AM | Thursday: 4:00 PM – 2:00 AM | Friday: 4:00 PM – 2:00 AM | Saturday: 4:00 PM – 2:00 AM | Sunday: 4:00 PM – 2:00 AM","Patrons who enter through a phone booth in Crif Dogs next door sip novel cocktails in a dark space.","[5★ MATTHEW SODIKOFF]: Fun experience for a first timer.  Sat at the bar and enjoyed the show. It’s a science project happening with every drink.  I had 2 and enjoyed both.  The second one was better as I requested the flavors I was desiring, voila here is a perfect cocktail.  I enjoyed the phone and looked forward to returning.  Try the citrus ginger spicy drink for a kick. ||| [5★ David]: PDT holds a special place in my heart. It was the second speakeasy style bar I ever visited (the first being Attaboy), way back in 2014. I've only been back a handful of times since then, but every time I'm able to, I'm excited. I know the food will be on point, the vibe low-light and comforting, and the cocktails made with meticulous care and precision. It's an intimate setting where you'll sit with your party and actually be able to speak with each other instead of shouting over loud music or blaring TVs. Overall, it's a really well done cocktail program, in a cool secretive setting. The staff are very friendly and knowledgable and the service is quick and efficient. Thank you! ||| [4★ Marie Kang-Scott]: PDT (Please Don’t Tell) was a fun and memorable stop. Entering through the telephone booth added to the charm and made it feel like discovering a true hidden gem. The cozy atmosphere and expertly crafted cocktails gave it a classic New York vibe—intimate, relaxed, and effortlessly cool. ||| [5★ Suzanne Lindsey]: We love underground speakeasy type bars. This one did not disappoint! Our bartender, Lindsay, was amazing. The cocktails, delicious. Loved the East Village Tots. The atmosphere, perfect. ||| [3★ Penny Gaffney]: We went to get some drinks after dinner but we didn't have reservation so we had to wait until they contact us for table which was about 30 minutes.
The 4 of us got seated on the small table, half the size of some tables that 2 people being seated (table under the bear) and right next to the bathroom and you can see the bathroom through the curtain which was certainly not nice. Since it was very dark people always hit the table we were at whenever they go in and out of the bathroom 😞
And since the table was small, 4 of us were very cramp in there, not at all comfortable.
We had a drink each then left."
"ChIJKU1MNJ1ZwokRQ7eiWK511vI","Death & Co East Village","East Village","CHEER TAVERN, 433 E 6th St, New York","Cocktail Bar","cocktail_bar; bar; restaurant; food; point_of_interest; establishment","PRICE_LEVEL_EXPENSIVE","4.5","2081","Monday: 6:00 PM – 1:00 AM | Tuesday: 6:00 PM – 1:00 AM | Wednesday: 6:00 PM – 1:00 AM | Thursday: 6:00 PM – 2:00 AM | Friday: 6:00 PM – 2:00 AM | Saturday: 6:00 PM – 2:00 AM | Sunday: 6:00 PM – 1:00 AM","Bartenders in bow ties & suspenders recall the speakeasy era at this dark, moody cocktail lounge.","[5★ Martin McAdam]: In my opinion one of the world's best cocktail bars. An extensive cocktail and mocktail menu. A wonderful menu of snacks. The cocktails are something you will talk about for a long time -  ingredients I have never heard of mixed with premium liquor. A tour de force for the taste buds. I went to explore whisky cocktails and was not disappointed. This is without doubt a place to visit. Customers are a blend of locals and visitors - a friendly atmosphere. Remember to bring ID - regardless of your grey hairs! Make a reservation! be adventurous - you will not be disappointed. ||| [5★ Anastasiya Martinez]: Amazing experience!!! 10/10 recommend. Especially if you sit at the bar! Everything was wonderful- the hostess was very friendly and professional, the bartenders really appreciate their craft, you can tell. You can’t go wrong with any drink. We walked in last minute, probably one hour before close and they were able to squeeze us in and I am so grateful! Just go and see for yourself ||| [5★ Neha]: The drinks are so interesting and creative and they have so many choices! I loved sitting at the bar especially because th bartenders are so nice and they really want to match you to the perfect drink for you! I had a great time. The inside is so beautiful too ||| [5★ Yuki Cohen]: I’ve lived in nyc for 14 years and was never able to get into this super popular joint!  Stroller in at midnight on a Sunday and voila!  We were granted entrance for the first time!  And wow!!  What a gorgeous, elegant and chic space the cocktails!  Wow!!!!!!  Watching the mixologists make the cocktails is like watching magic happen right in front of your eyes.  These are the Olympic athletes of the mixology world.  Everything is awe inspiring and my drink (a modified Manhattan) is stuff that makes you believe in miracles.  Dante our bartender was so nice!  We didn’t eat but I am positive the food is as exquisite as the cocktails.  Chefs kiss of life’s experiences for sure! ||| [5★ Hector Ramirez]: I originally planned to propose to my girlfriend here in one of the best bars in the world as we love to travel and experience cocktails. Cara was an angel sent down from the heavens helping me plan every detail. Last minute I changed my plans to propose somewhere more privately and instead surprised my girlfriend (now fiancée) with her best friend and family at death & co. They dealt with every request and gave us an experience we’ll never forget. Cocktails flowing, each delicious and unique, and we had some mezcal/rhubarb shots that were the highlight of my alcoholic shooting experiences. Thomas was our host this day and he handled 3 girls screaming and taking pictures with aplomb. Thank you to the death & co team for a night to remember. I wish I had better pictures to offer but we may have been slightly “over-celebrated” by this point"
"ChIJA9irJVtZwokRxk_y6uNanoI","The Headless Widow","East Village","99 1st Ave, New York","Cocktail Bar","cocktail_bar; bar; point_of_interest; establishment","PRICE_LEVEL_MODERATE","4.6","455","Monday: Closed | Tuesday: 5:00 PM – 1:00 AM | Wednesday: 5:00 PM – 1:00 AM | Thursday: 5:00 PM – 1:00 AM | Friday: 5:00 PM – 2:00 AM | Saturday: 4:00 PM – 2:00 AM | Sunday: 4:00 PM – 1:00 AM","Creative cocktails & craft beers pair with elevated bar bites like oysters at this stylish hangout.","[5★ Peggy Ryan]: Such a great vibe and I love the cocktails and the super nice staff. My fave is gin and they have some really good gin cocktails. It gets busy especially on the weekends but it always feels good here and not crazy and cramped and too loud like some of the bars in the neighborhood. ||| [5★ Meera Mohan]: We stumbled upon this spot during a bar-hopping adventure and were pleasantly surprised. Although quiet when we arrived, it gradually filled up as the evening progressed. The rustic decor and welcoming staff created a cozy atmosphere. We stopped by for a quick cocktail, ordering an Old Fashioned and a Guillitoni, both expertly crafted. Impressed by our experience, we're eager to return and try their food offerings. This place seems ideal for hosting intimate gatherings or enjoying a date night. They have happy hour deals as well. ||| [5★ Natalia Med]: We found this gem by chance after event at Drom and decided to stop in—and we're so glad we did. The ambiance is warm and inviting, with a stylish yet relaxed vibe that instantly makes you feel comfortable. We each had a cocktail, and both were perfectly balanced and beautifully presented. We also tried their mussels which were fresh and full of flavor. The service was friendly and attentive without being overbearing. It feels like the perfect spot for a casual date or catching up with friends over drinks. Bonus: their happy hour specials are definitely worth checking out. ||| [5★ Shallon Daniel]: The drinks were exceptional. Very unique very amazing and classy. The drinks were amazing. The atmosphere exceptional. The wait staff all very friendly. The food was phenomenal. Highly recommend!! One of our favorite places to go in New York! ||| [1★ yashomati mukherjee]: This review honestly breaks my heart to write. The Headless Widow has always been one of our favorite bars in NYC. We are regulars, we’ve recommended it to friends and family countless times, and it has consistently been one of our top suggestions when people ask where to go. We love the ambience, the drinks, and the overall vibe of the place — which is exactly why last night’s experience was so shocking and disappointing.
When my husband and I walked in, there were tables open. The bar itself seemed mostly full, but the small wooden tables by the window with barstools were almost completely empty. We told the server who greeted us that we were hoping to sit either at the bar or at one of those window barstools. He told us we could stand at the bar to order, which we agreed to.
While grabbing menus from the bar, we noticed that only one woman was sitting at the window barstools — all the other stools were empty. I spoke to her, and she kindly told us she was about to leave anyway because her friends were running late and she had another reservation. She said we were welcome to take her spot.
I sat down, and my husband stayed by the bar to look at the menu. Almost immediately, the same server came over and told us we couldn’t sit there and that we had to stand at the bar. At this point, the woman who had been sitting there stepped in and explained to him that she was leaving and that we had spoken to her. She even seemed confused herself, saying she didn’t understand why it was an issue since she was getting up and no one else was sitting there. At that point, I told my husband that I no longer felt welcome, and we decided to leave. It completely ruined our night and left a really bitter taste — not just because of the situation, but because this was a place we genuinely loved and felt connected to.
It’s sad to walk away from an establishment you’ve supported for years, but feeling unwelcome and disrespected is not something we’re willing to overlook. I hope management takes this seriously and provides better training to their staff so guests are treated with basic respect and kindness. Unfortunately, after this experience, we don’t think we’ll be returning.

Update - Thank you so much for your gracious offer and kind words. Really appreciate you taking the time out and responding to my review.  We would love to come back as paying customers like we always have but do appreciate the offer to get a table by the window. I can reach out to you on your other social media handle to maybe pick up a date. Thank you once again for restoring my faith in The Headless Widow."
"ChIJD7hZXdpZwokRKvpxeBGGqlQ","Hidden Tiger","East Village","13th St & 14th St, 212 Avenue A, New York","Korean Restaurant","korean_restaurant; cocktail_bar; association_or_organization; bar; restaurant; food; point_of_interest; establishment","","4.3","85","Monday: Closed | Tuesday: Closed | Wednesday: 6:00 PM – 12:00 AM | Thursday: 6:00 PM – 2:00 AM | Friday: 6:00 PM – 2:00 AM | Saturday: 6:00 PM – 2:00 AM | Sunday: 6:00 PM – 12:00 AM","","[5★ Diana Nguyen]: Not enough great things can be said about this bar. The DJs and music 12/10, lots of 2000s era hip hop/rnb, Latin music, and whatever else that literally gets you dancing all night. Vibes are impeccable - everyone is always in such a good mood, from staff to patrons— so friendly, spicy, and so much fun! Food and drinks 10/10 - their skewers were reportedly delicious (I was too busy dancing and forgot to eat), their whiskeys are fantastic, and they even serve sake!!! Service - 15/10 - Cliff, the owner, is so genuine, chill, KIND, and just all around good vibes!!! We hosted our engagement party here bc we loved this spot so much and we, and all of our guests, had A BLAST. So grateful to have such a great establishment in the neighborhood. ||| [2★ Y S]: This is a small spot with a live DJ and a tiny area for dancing. The music is incredibly loud—if you’re hoping to have a conversation, forget it; you’ll be yelling just to be heard. It’s fine for a quick drink and a dance, but that’s about it. We stayed for an hour and left with physical ear pain. I’m genuinely concerned about the decibel level and my hearing after that.This is a small spot with a live DJ and a tiny area for dancing. The music is incredibly loud—if you’re hoping to have a conversation, forget it; you’ll be yelling just to be heard. It’s fine for a quick drink and a dance, but that’s about it. We stayed for an hour and left with physical ear pain. I’m genuinely concerned about the decibel level and my hearing after that. ||| [5★ Don Manuel Presents]: Now the secert behind Cafe joah is the amazing Speakeasy know as hidden tiger. Literally one of my favorite spots to visit when down in NYC LES, quick fun fact how I learned about hidden tiger was the legendary Keith Shocklee of Public Enemy ans Bomb squad took RDF and myself there to meet his producer Studdah man and we just feel in love with the vibez, the music and the food OMG the wings are a must have and the bao buns and to start it off right have the mango mochi before the wings cause as RDF says we big kids here, plus who don't like dessert before food. Most nights there is a live dj and on the weekend you never know who you will see there just chilling and enjoying the iconic vibez that Fat Buddha has paved for hidden tiger to keep alive. ||| [3★ Kevin Chen]: Ordered the Macho Libre and The Fat Buddha drinks as well as a side of their Tteokbokki rice cakes with brown butter. The Macho Libre was a spicy pomegranate margarita with a tajin rim; it was a pleasant drink with pomegranate notes and the fun spice from that tajin around the glass. The Fat Buddha was their signature lychee martini, like a sweet milkis drink with lychee flavor. The tteokbokki rice cakes were a sufficient amount as a light appetizer. The brown butter tastes great on top of this, giving it a sweet buttery flavor. Staff are friendly, patronage was medium traffic on a weekday. It’s not particularly a speakeasy, just merely tucked through another door behind another storefront. ||| [3★ Adam Dickson]: This place had good food, drinks, and service, but was deafeningly loud. The DJ had no tact. If you hope to hear at least 50% of your date’s conversation, go somewhere else. It would have been a nice evening if the DJ had taken the volume down several notches to an appropriate level for dinner. I shouldn’t have to scream when I am 2 feet across from someone and struggle to hear them respond."
"ChIJA5VYvHZZwokR3PrQCTgoJ8g","Two Perrys","East Village","127 Loisaida Ave, New York","Bar","bar; cafe; cocktail_bar; restaurant; food; point_of_interest; establishment","","4.9","106","Monday: Closed | Tuesday: Closed | Wednesday: 5:00 PM – 12:00 AM | Thursday: 5:00 PM – 2:00 AM | Friday: 5:00 PM – 2:00 AM | Saturday: 4:00 PM – 2:00 AM | Sunday: Closed","","[5★ Clara Chahwan]: Love this bar, delicious cocktails and you can just tell how much the owners care about their menu and customers. Could not recommend it enough for bigger groups or small intimate drinks! ||| [5★ Vaha Bee Bro]: Huge thanks to the owner!!!  he is a friend of my friend's husband who we celebrated his birthday yesterday at this beautiful place what can I say the place is just bomb very comfortable harmonious great service good selection of drinks and beers & delicious snacks especially pizza snack so  I advise everyone, with a company or alone, to definitely visit this place and spend an extremely unforgettable time!!!!!!!! So don't waste your time hurry up come here and relax with your friends!!! 🥂 ||| [5★ Alex Hjalmarsson]: What an Excellent experience at Two Perrys!
Phenomenal cocktails with attention to detail and high quality ingredients. Music was engaging and friendly patrons at the bar. The staff was knowledgeable and professional. Would highly recommend! ||| [5★ Zara Kramer]: Mark and Minh were so fantastic, they made my evening. The staff here is so attentive, it’s rare to find a bar with staff that care so much about their patrons, regular and new! Couldn’t recommend more! ||| [5★ Zach Hitchcock]: What an amazing neighborhood spot! Mark and Minh hosted us for a birthday event on a warm, sunny Saturday and we could not have been happier. First time visitors to Two Perry’s. We felt incredibly taken care of. Loved the cocktails (their resumes really show up in the menu) and the open facade offers the ideal vibe that really encapsulates everything I love about Ave C. Highly recommend checking it out, whether with a few friends or for something larger!"
"ChIJD28DfJ5ZwokRpyv9AXrO6no","Juke Bar","East Village","196 2nd Ave, New York","Cocktail Bar","cocktail_bar; bar; point_of_interest; establishment","PRICE_LEVEL_MODERATE","4.5","572","Monday: 5:00 PM – 4:00 AM | Tuesday: 5:00 PM – 4:00 AM | Wednesday: 5:00 PM – 4:00 AM | Thursday: 5:00 PM – 4:00 AM | Friday: 5:00 PM – 4:00 AM | Saturday: 4:00 PM – 4:00 AM | Sunday: 4:00 PM – 4:00 AM","Lively, Southern-flavored joint with signature cocktails, craft beers & a live band on Sundays.","[5★ Vaughn Broderick]: I’m not into writing reviews but I wanted be sure I did in the hopes that I can help someone out there who makes a big deal about their birthday but needs to do it on a budget, like me. Book your next birthday here. I’m not joking. The bar tenders, DJ and all the staff were so incredibly kind and helped make my night so special. Rory was so responsive and helped me get everything in order for my night. There is no fee or bar minimum, just a small deposit that they sent back to me the day after my party. They also let me rename two of their cocktails and they printed out a little menu I made (photo attached)! Everyone I talked to said they had the best time ever. I can’t say enough nice things about my experience at this bar. Trusting a free party room in NYC is such a risk cause there’s always a catch, whether it be the room isn’t actually “private” or the staff is rude, but this exceeded my expectation. Thank you again! ||| [5★ Allison Segal]: I hosted a party here last night for my fiancé’s 31st birthday and we had an incredible time. We rented out the front/main bar area, had about 30 guests, and there was plenty of space. Rory made planning and coordinating this party seamless and was super accommodating. Our bartenders, Giorgio and Jackson, were great; they very friendly, made great drinks, and never had my guests waiting. The rest of the staff was great, too. The Espresso Martini and Emily Rose cocktails were my favorites and the happy hour was a great deal. I highly recommend hosting a party here and we will definitely be back. 10/10!! ||| [4★ Ariana Santos]: Kinda rude staff, went there for a birthday and they were constantly telling us how long we had and then when we were getting our stuff together not even in the area where the private event was we felt rush and like we couldn’t order more drinks. Felt the drinks were a little bitter as well. Bartenders were nice! ||| [5★ Kimberly Lim Legaspi]: I stopped by The Juke Bar recently for a friend-of-a-friend’s birthday, and honestly it was such a cute little spot. The vibe is cozy but lively just the right balance for a celebration without feeling overwhelming.

I tried their lychee martini, which was bright, floral, and sweet without being too syrupy. It had that clean, refreshing taste that makes you want another sip right away. I also had a tequila cranberry simple but solid, and mixed just right so you could still taste the tequila’s kick while getting that tart cranberry finish. Both drinks were well-made, and it shows they pay attention even to the “classic” orders, not just the fancier cocktails.

Overall, it felt like the kind of bar you’d want to return to, whether for another birthday gathering or just a casual night out. Cute atmosphere, good energy, and drinks that actually hit the spot I’d definitely go back. ||| [5★ Christina Peitler]: I hosted my 25th birthday, and it couldn’t have been more perfect. The staff, the DJ, and the space were all fantastic. I will definitely host another event here soon."
"ChIJUeg8neFZwokRjTD4oCwTPGk","Accidental Bar","East Village","98 Loisaida Ave, New York","Bar","bar; restaurant; food; point_of_interest; establishment","","4.9","151","Monday: Closed | Tuesday: 5:00 – 11:00 PM | Wednesday: 5:00 – 11:00 PM | Thursday: 5:00 PM – 12:00 AM | Friday: 5:00 PM – 12:00 AM | Saturday: 5:00 PM – 12:00 AM | Sunday: 5:00 – 11:00 PM","","[5★ Mark Williams Hutchins]: We were looking for a bar before a meal at Tuome and found this sake bar near by. We went after our meal, walked in and it was very welcoming. Austin the owner was very friendly & had superb sake knowledge. We described drinks we liked & he found sake that reflected this. All the drinks we had were lovely & had a great chat with Austin. Highly recommend & would definitely go back. Great prices also. Large range of sake. ||| [5★ Paul Ampunun]: Accidental Bar is a cool, laid-back spot in East village. Known for its curated natural sake selection and chill vibes. It's a great place to discover new sake and enjoy a relaxed evening with friends. ||| [5★ Erika W]: Popped in on a Sunday night to have a drink before a dinner reservation and we’re so glad we did.
Sat at the bar with bartender Bradley who made the experience really special. He’s friendly and very knowledgeable about the sake and flavors, making sure we were pleased with our sips. ||| [5★ Edd Lee]: If you love sake, a good time and a spectacular sommelier of sake, go see Austin the owner. It will be love upon first meeting. I promise you. ||| [5★ Katherine Poole (Katie)]: This is a sake bar that I didn't know I needed in my life. Wonderfully warm welcome from the owner and his team, help navigating the menu of sake (we aren't sake connoisseurs, though we do enjoy a glass!), and delicious small plates with flavour combos that are unexpected but simply divine. Such as nori & cheese - never would have guessed it, but it's a new favourite. Make a reservation and get a seat at the bar."
"ChIJxUgwtKhZwokRNb3gWsRneSw","Waiting on a Friend","East Village","206 Avenue A, New York","Bar","bar; point_of_interest; establishment","","4.6","175","Monday: Closed | Tuesday: 5:00 PM – 12:00 AM | Wednesday: 5:00 PM – 12:00 AM | Thursday: 5:00 PM – 1:00 AM | Friday: 5:00 PM – 3:00 AM | Saturday: 5:00 PM – 3:00 AM | Sunday: Closed","","[5★ Joy Chen]: I celebrated my birthday at WOAF and had such an amazing time! The only upfront cost was a $250 deposit, which was fully refunded after the party, so my friends and I just paid for our food and drinks. We chose to do separate tabs, but they also offered an open bar option that was surprisingly affordable. They let me bring my own cake and decorate our section, which made it feel really special. The music was great, the drinks were good, and overall it was such a fun experience! ||| [5★ Summer Brown]: My favorite bar in NYC! Always a great music and crowd. Amazing cocktails, too. I have had my birthday party here and have been to a bunch of events here and it's always a blast! 11/10 ||| [5★ Alexandria Albert]: We really loved the happy hour drinks (and prices), the vibes, and the bartender. He even remade my friend's drink happily after she realized she didn't like the one she chose. Would return again!!! Not too many seats but we snagged an amazing seat so we were quite content. ||| [5★ Crystal Zhao]: Had such a fun night hosting a 50ppl wedding afterparty in the backroom! Had our own bar and the drinks were sooo good. The room was super comfy for 40-60ppl, had space for ppl to dance and some seats in the back for ppl who get tired. The staff were also friendly and accommodating. Overall super successful event with immaculate vibes ✌🏻 ||| [5★ Corey]: This is hands down the single best place to host a birthday party in NYC. The atmosphere, drinks, and service are all top-tier and made our celebration seamless.
It’s honestly the only spot in the city actually worth waiting on a friend for—even that one friend who says they’re “around the corner” when they haven’t even left their apartment yet. Highly recommend!"
"ChIJrzFieCFZwokRKomv90hsLXE","Mister Paradise","East Village","105 1st Ave, New York","Cocktail Bar","cocktail_bar; bar; point_of_interest; establishment","","4.5","324","Monday: Closed | Tuesday: 5:00 PM – 1:00 AM | Wednesday: 5:00 PM – 1:00 AM | Thursday: 5:00 PM – 2:00 AM | Friday: 5:00 PM – 3:00 AM | Saturday: 2:00 PM – 3:00 AM | Sunday: 2:00 – 10:00 PM","Craft cocktails with playful names are paired with elevated bites in a chic space with a red room.","[3★ Kawone Williams]: While i was at Mister Paradise  Rigo was my guide for this journey through the cocktail selection. Interesting enough all the drinks felt good but not enough to make me sit up and pay attention. All delicious but in a way that says ""I might be able to recreate this at home."" Definitely a good neighborhood spot to visit.

Hypnotoad - This is a very specific flavor profile that I don't think I've ever had before. Bourbon with melon, cucumber 🥒 and mint is very very interesting combination. it's not for me but I'm positive someone would love this drink. Its loud but not obnoxious. 👏🏾👏🏾👏🏾

Cougar Magnum - This cocktail drinks like your traditional sour but has these beautiful flourishes of smoke. I struggle to taste the buttered popcorn 🍿 in the drink. I think if it were louder it would make the drink a bit more interesting. Great taste overall. 👏🏾👏🏾👏🏾

Dorothy Mantooth - This drinks flavor profile reminds me of a really well made Bay Breeze or a Port of Call from Clover Club. Very berry in its flavor profile. The fortified wine adds texture and lychee gives it a somewhat tropical flavor. Easy to drink and a good base for expansion. 👏🏾👏🏾👏🏾 ||| [5★ Donnie Rodgers]: Immaculate vibes. Amazing happy hour. INCREDIBLE staff. Will come back here before 7pm for happy hour whenever we’re in the city!!!!! Literally best music also. Really got my night in the city started. ||| [5★ Shaun Morey]: I just hosted my partner's birthday here last night and it was one of the best experiences I've had thanks to the staff.

I just saw a poor review of this location when it came to them hosting parties of 20+ but my experience was nothing farther from poor. I was fortunate enough to not have to look at the reviews of this place before booking because the multiple times I have been here - the staff was so great and the drinks were even better.

Booking was so simple and clear, I did it a few months before (a little overkill but i had a december event so I wanted to play it safe,) and got exactly what I needed, shoutout Shanna. I didn't need to confirm or feel nervous about them forgetting because when i walked in 15 minutes before the time I booked, they were expecting me!

The bartender assigned to my section and the red room (i think) was on top of us. He knew who was in our party of 30 folks and attended to them amazingly, even on the busy night. I called him Chase because I think that was his name, if it wasn't, omg i'm so sorry. Manager was really great and super cool and also very attentive. Also important to note that a lot of folks who came were really impressed by the bar because it's a really cool spot.

All-in-all; if you're looking to host a smaller party 10-30, try this place. If you just want a really good drink and a nice vibe, DEFFFF try this place. ||| [5★ nancy soto]: Attended a birthday party here and could not have been happier. The staff was absolutely amazing and extremely attentive. The drinks were tasty and delicious.  The atmosphere has a cool and cozy vibe. This is a great local spot or if you feel like venturing further east don’t pass this one by! ||| [1★ Helen Xu]: Worst venue one can imagine. If you’re considering booking this place for a group event/birthday get ready to get ignored for 20 minutes before getting to talk to anyone for service, and get ready for a broken table in the room!!
I booked their red room for my birthday and I confirmed the booking with them via email multiple times. When we arrived NO ONE hosted us or led us to the room, and it took forever for me to try to talk to someone to get us seated.
Star of the show was that the marble table in their red room was BROKEN! Yet no one told me about this before our arrival and I literally had to 1) navigated the bar by myself to find the Red Room; 2) walked in the room with no one serving us to find that the table was crashed. Mind you the room has a minimum spending and I was coming ready to hit that only to get ignored and find a broken table in the room. We were eventually forced to find another venue in the middle of the night. What a birthday."
"ChIJpStBHXZZwokRP6qe0Iyqtsk","96 Tears","East Village","110 Avenue A, New York","Bar","bar; history_museum; museum; restaurant; food; point_of_interest; establishment","","4.6","44","Monday: 5:00 PM – 2:00 AM | Tuesday: 5:00 PM – 2:00 AM | Wednesday: 5:00 PM – 2:00 AM | Thursday: 5:00 PM – 4:00 AM | Friday: 5:00 PM – 4:00 AM | Saturday: 5:00 PM – 4:00 AM | Sunday: 5:00 PM – 2:00 AM","","[1★ Holly hey]: I really wanted to give this a 5-star review, but unfortunately last night two of my male friends (who were flirting but having a conversation, no physical contact) were kicked out by a bouncer for no apparent reason. Later, when another friend asked that same bouncer why he had them removed from the venue, his response was that ‘he didn’t want to see this’ and that it was ‘unhygienic’. Safe to say we were all shocked. First time witnessing someone being so openly homophobic, didn’t think it could happen so casually but here we go. Do better. ||| [5★ Tiffany French]: Fab. It’s a cute little dive bar. Great staff. Good cocktails. ||| [5★ Christian Holzer]: I found this great new bar
while walking in my neighborhood. Its my go to spot now. I took my buddies from uptown there the other night they love it too. Delicious Mexican food and cocktails. Lots of wonderful stuff on the walls.  Great rare memorabilia. Very cool music. Real chill vibe with a sweet and sexy staff, so it feels like summer is finally coming. ||| [1★ null sorry]: By far the most disrespectful experience I've ever had at a bar. I am fairly sensitive to alcohol, and after having one drink, my friends and I were all refused water. Mind you, we were fully willing to pay for water. The bartender claimed she didn't have time to get it for us. The bar was pretty much empty. I NEVER leave reviews but this was absolutely egregious. I spent the rest of the night feeling extremely sick AFTER ONE DRINK because we were refused water. Do yourself a favor and stay away from this place. ||| [5★ Zohra Atash]: Hands down, the best rock n’ roll dive since Motor City. This place has electric atmosphere, carefully curated and adorned with relics from rock n roll’s esoteric past.  It’s a full on sensory delight, with warm and inviting folks running the place. The cocktails are yummy and named after gems like “Goo Goo Muck” and “Sex Beat”. The jukebox is exquisite, but last Sunday was a Josh Styles and one of the owners, Jonathan Toubin - a NYC rock n’ roll institution, with a collection of 45s so exquisitely pulled, I was suspended in fun laughs good time mode from 10pm to last call.

This is a bar for the savvy and layman alike - and honestly feels like a neightborhood joint befitting its punk rock mythology history. Jonathan Toubin (and friends Jesse Malin and Johnny T) are stalwarts and genuinely care about catering to the community, and making happenings happen. Plus the bathrooms are clean, with tp and a mirror. I couldn’t be happier."
"ChIJObMZS51ZwokR0ffmCsI0qFQ","Amor y Amargo","East Village","443 E 6th St, New York","Bar","bar; cocktail_bar; liquor_store; store; point_of_interest; establishment","PRICE_LEVEL_EXPENSIVE","4.7","974","Monday: 5:00 PM – 12:00 AM | Tuesday: 5:00 PM – 12:00 AM | Wednesday: 5:00 PM – 12:00 AM | Thursday: 5:00 PM – 12:00 AM | Friday: 5:00 PM – 1:00 AM | Saturday: 5:00 PM – 1:00 AM | Sunday: 5:00 PM – 12:00 AM","Intimate bar offering an extensive list of cocktails that showcase classic Italian & craft bitters.","[5★ Pedro Devoto]: Really good gem in the heart of East Village. The cocktails are delicious and the bar tender/owner is very nice and friendly. He knows how to recommend a drink for you. Really recommended. ||| [5★ Daniel Di Bartolo]: This was an incredible spot. I had multiple cocktails in all were excellent. Service was stellar even though it’s a small venue. They have a small bar with standing room and a standing bar area as well. Decor is fun, tons of exotic, looking bottles of bitters and various “apothecary” coded items.

It feels super unique, without being a super trendy spot with people having their phones out, recording, etc.

But stand out for me was the bartender. Amazing excellent attentive service! Made everybody in that room feel like they were the only patrons. ||| [5★ Juhee Park]: Amazing cocktails! Ended up trying almost all drinks on the menu. It also has great vibe and is a stand up bar that makes sense that you don’t get squeezed and can hear other people talking w/o yelling or ears bleeding ||| [4★ Andrew Schneider]: No doubt about it, the ambiance of this place is unique and charming. Overall incredible atmosphere. And best amaro selection I have ever seen. Bartender was a bit put off by questions, it appeared and came off as pompous and arrogant, but he was very knowledgeable and had a certain je-ne-sais-quoi to him. ||| [5★ Jared Miller]: Amor y Amargo is a tiny East Village bar that sticks to one lane — bitters, amari, and spirit-forward cocktails, and does it exceptionally well. The place isn’t trying to charm you with décor; it’s basically a compact room with shelves of bottles and bartenders who know exactly what they’re pouring.

The drink list is full of stirred, boozy options. If you like amaro, you’re in the right spot. Their cocktails lean herbal, bitter, and layered rather than sweet or flashy. Something like the Sharpie Mustache gives you that mix of rye, gin, and layered bitterness that hits hard but stays balanced. They rotate drinks often, but the style stays consistent: strong, clean, and built for people who actually enjoy tasting the base spirits.

The space is small, so expect to be close to other people or even standing. The bartenders are dialed in, focused, and efficient without putting on a show. You can ask questions and they’ll break things down for you without being pretentious. If you’re into bitter, complex cocktails and want a spot that doesn’t mess around, Amor y Amargo is a great move. It’s straightforward, specialized, and delivers exactly what it promises."
